,Date,confirmed_inc
1191267,2020-01-22,41.0
1191268,2020-01-23,0.0
1191269,2020-01-24,0.0
1191270,2020-01-25,0.0
1191271,2020-01-26,0.0
1191272,2020-01-27,0.0
1191273,2020-01-28,0.0
1191274,2020-01-29,0.0
1191275,2020-01-30,1.0
1191276,2020-01-31,0.0
1191277,2020-02-01,0.0
1191278,2020-02-02,1.0
1191279,2020-02-03,1.0
1191280,2020-02-04,0.0
1191281,2020-02-05,0.0
1191282,2020-02-06,0.0
1191283,2020-02-07,0.0
1191284,2020-02-08,0.0
1191285,2020-02-09,0.0
1191286,2020-02-10,0.0
1191287,2020-02-11,0.0
1191288,2020-02-12,0.0
1191289,2020-02-13,0.0
1191290,2020-02-14,0.0
1191291,2020-02-15,0.0
1191292,2020-02-16,0.0
1191293,2020-02-17,0.0
1191294,2020-02-18,0.0
1191295,2020-02-19,0.0
1191296,2020-02-20,0.0
1191297,2020-02-21,0.0
1191298,2020-02-22,0.0
1191299,2020-02-23,0.0
1191300,2020-02-24,0.0
1191301,2020-02-25,0.0
1191302,2020-02-26,0.0
1191303,2020-02-27,0.0
1191304,2020-02-28,0.0
1191305,2020-02-29,0.0
1191306,2020-03-01,0.0
1191307,2020-03-02,2.0
1191308,2020-03-03,0.0
1191309,2020-03-04,23.0
1191310,2020-03-05,2.0
1191311,2020-03-06,1.0
1191312,2020-03-07,3.0
1191313,2020-03-08,5.0
1191314,2020-03-09,4.0
1191315,2020-03-10,13.0
1191316,2020-03-11,6.0
1191317,2020-03-12,11.0
1191318,2020-03-13,9.0
1191319,2020-03-14,20.0
1191320,2020-03-15,11.0
1191321,2020-03-16,6.0
1191322,2020-03-17,23.0
1191323,2020-03-18,14.0
1191324,2020-03-19,38.0
1191325,2020-03-20,50.0
1191326,2020-03-21,86.0
1191327,2020-03-22,66.0
1191328,2020-03-23,103.0
1191329,2020-03-24,37.0
1191330,2020-03-25,121.0
1191331,2020-03-26,70.0
1191332,2020-03-27,160.0
1191333,2020-03-28,100.0
1191334,2020-03-29,37.0
1191335,2020-03-30,227.0
1191336,2020-03-31,146.0
1191337,2020-04-01,601.0
1191338,2020-04-02,545.0
1191339,2020-04-03,24.0
1191340,2020-04-04,515.0
1191341,2020-04-05,506.0
1191342,2020-04-06,1190.0
1191343,2020-04-07,533.0
1191344,2020-04-08,605.0
1191345,2020-04-09,809.0
1191346,2020-04-10,873.0
1191347,2020-04-11,848.0
1191348,2020-04-12,759.0
1191349,2020-04-13,1248.0
1191350,2020-04-14,1034.0
1191351,2020-04-15,835.0
1191352,2020-04-16,1108.0
1191353,2020-04-17,922.0
1191354,2020-04-18,1370.0
1191355,2020-04-19,1893.0
1191356,2020-04-20,924.0
1191357,2020-04-21,1541.0
1191358,2020-04-22,1290.0
1191359,2020-04-23,1707.0
1191360,2020-04-24,1453.0
1191361,2020-04-25,1753.0
1191362,2020-04-26,1607.0
1191363,2020-04-27,1561.0
1191364,2020-04-28,1873.0
1191365,2020-04-29,1738.0
1191366,2020-04-30,1801.0
1191367,2020-05-01,2394.0
1191368,2020-05-02,2442.0
1191369,2020-05-03,2806.0
1191370,2020-05-04,3932.0
1191371,2020-05-05,2963.0
1191372,2020-05-06,3587.0
1191373,2020-05-07,3364.0
1191374,2020-05-08,3344.0
1191375,2020-05-09,3113.0
1191376,2020-05-10,4353.0
1191377,2020-05-11,3607.0
1191378,2020-05-12,3524.0
1191379,2020-05-13,3763.0
1191380,2020-05-14,3942.0
1191381,2020-05-15,3787.0
1191382,2020-05-16,4864.0
1191383,2020-05-17,5050.0
1191384,2020-05-18,4630.0
1191385,2020-05-19,6147.0
1191386,2020-05-20,5553.0
1191387,2020-05-21,6198.0
1191388,2020-05-22,6568.0
1191389,2020-05-23,6629.0
1191390,2020-05-24,7113.0
1191391,2020-05-25,6414.0
1191392,2020-05-26,5843.0
1191393,2020-05-27,7293.0
1191394,2020-05-28,7300.0
1191395,2020-05-29,8105.0
1191396,2020-05-30,8336.0
1191397,2020-05-31,8782.0
1191398,2020-06-01,7761.0
1191399,2020-06-02,8821.0
1191400,2020-06-03,9633.0
1191401,2020-06-04,9889.0
1191402,2020-06-05,9471.0
1191403,2020-06-06,10438.0
1191404,2020-06-07,10864.0
1191405,2020-06-08,8442.0
1191406,2020-06-09,10218.0
1191407,2020-06-10,10459.0
1191408,2020-06-11,10930.0
1191409,2020-06-12,11458.0
1191410,2020-06-13,11929.0
1191411,2020-06-14,11502.0
1191412,2020-06-15,10667.0
1191413,2020-06-16,10974.0
1191414,2020-06-17,12881.0
1191415,2020-06-18,13586.0
1191416,2020-06-19,14516.0
1191417,2020-06-20,15403.0
1191418,2020-06-21,14831.0
1191419,2020-06-22,14933.0
1191420,2020-06-23,15968.0
1191421,2020-06-24,16922.0
1191422,2020-06-25,17296.0
1191423,2020-06-26,18552.0
1191424,2020-06-27,19906.0
1191425,2020-06-28,19459.0
1191426,2020-06-29,18522.0
1191427,2020-06-30,18641.0
1191428,2020-07-01,19160.0
1191429,2020-07-02,20903.0
1191430,2020-07-03,22771.0
1191431,2020-07-04,24850.0
1191432,2020-07-05,24248.0
1191433,2020-07-06,22251.0
1191434,2020-07-07,22753.0
1191435,2020-07-08,24879.0
1191436,2020-07-09,26506.0
1191437,2020-07-10,27114.0
1191438,2020-07-11,28606.0
1191439,2020-07-12,28732.0
1191440,2020-07-13,28498.0
1191441,2020-07-14,29429.0
1191442,2020-07-15,32676.0
1191443,2020-07-16,34975.0
1191444,2020-07-17,35252.0
1191445,2020-07-18,38697.0
1191446,2020-07-19,40425.0
1191447,2020-07-20,37132.0
1191448,2020-07-21,37740.0
1191449,2020-07-22,45720.0
1191450,2020-07-23,49310.0
1191451,2020-07-24,48916.0
1191452,2020-07-25,48611.0
1191453,2020-07-26,49981.0
1191454,2020-07-27,44457.0
1191455,2020-07-28,51596.0
1191456,2020-07-29,50294.0
1191457,2020-07-30,52783.0
1191458,2020-07-31,61242.0
1191459,2020-08-01,54735.0
1191460,2020-08-02,52972.0
1191461,2020-08-03,52050.0
1191462,2020-08-04,52509.0
1191463,2020-08-05,56282.0
1191464,2020-08-06,62538.0
1191465,2020-08-07,61537.0
1191466,2020-08-08,64399.0
1191467,2020-08-09,62064.0
1191468,2020-08-10,53601.0
1191469,2020-08-11,60963.0
1191470,2020-08-12,66999.0
1191471,2020-08-13,64553.0
1191472,2020-08-14,64732.0
1191473,2020-08-15,64030.0
1191474,2020-08-16,57711.0
1191475,2020-08-17,55018.0
1191476,2020-08-18,64572.0
1191477,2020-08-19,69672.0
1191478,2020-08-20,68900.0
1191479,2020-08-21,69876.0
1191480,2020-08-22,69239.0
1191481,2020-08-23,61408.0
1191482,2020-08-24,60975.0
1191483,2020-08-25,57224.0
1191484,2020-08-26,85687.0
1191485,2020-08-27,77266.0
1191486,2020-08-28,76472.0
1191487,2020-08-29,78761.0
1191488,2020-08-30,78512.0
1191489,2020-08-31,69921.0
1191490,2020-09-01,78357.0
1191491,2020-09-02,83883.0
1191492,2020-09-03,83341.0
1191493,2020-09-04,86432.0
1191494,2020-09-05,90632.0
1191495,2020-09-06,90802.0
1191496,2020-09-07,75809.0
1191497,2020-09-08,89706.0
1191498,2020-09-09,95735.0
1191499,2020-09-10,96551.0
1191500,2020-09-11,97570.0
1191501,2020-09-12,94372.0
1191502,2020-09-13,92071.0
1191503,2020-09-14,83809.0
1191504,2020-09-15,90123.0
1191505,2020-09-16,97894.0
1191506,2020-09-17,96424.0
1191507,2020-09-18,93337.0
1191508,2020-09-19,92605.0
1191509,2020-09-20,86961.0
1191510,2020-09-21,75083.0
1191511,2020-09-22,83347.0
1191512,2020-09-23,86508.0
1191513,2020-09-24,86052.0
1191514,2020-09-25,85362.0
1191515,2020-09-26,88600.0
1191516,2020-09-27,82170.0
1191517,2020-09-28,70589.0
1191518,2020-09-29,80472.0
1191519,2020-09-30,86821.0
1191520,2020-10-01,81484.0
1191521,2020-10-02,79476.0
1191522,2020-10-03,75829.0
1191523,2020-10-04,74442.0
1191524,2020-10-05,61267.0
1191525,2020-10-06,72049.0
1191526,2020-10-07,78524.0
1191527,2020-10-08,70496.0
1191528,2020-10-09,73272.0
1191529,2020-10-10,74383.0
1191530,2020-10-11,66732.0
1191531,2020-10-12,55342.0
1191532,2020-10-13,63509.0
1191533,2020-10-14,67708.0
1191534,2020-10-15,63371.0
1191535,2020-10-16,62212.0
1191536,2020-10-17,61871.0
1191537,2020-10-18,55722.0
1191538,2020-10-19,46790.0
1191539,2020-10-20,54044.0
1191540,2020-10-21,55839.0
1191541,2020-10-22,54366.0
1191542,2020-10-23,53370.0
1191543,2020-10-24,50129.0
1191544,2020-10-25,45148.0
1191545,2020-10-26,36470.0
1191546,2020-10-27,43893.0
1191547,2020-10-28,49881.0
1191548,2020-10-29,48648.0
1191549,2020-10-30,48268.0
1191550,2020-10-31,46963.0
1191551,2020-11-01,45231.0
1191552,2020-11-02,38310.0
1191553,2020-11-03,46253.0
1191554,2020-11-04,50210.0
1191555,2020-11-05,47638.0
1191556,2020-11-06,50356.0
1191557,2020-11-07,45674.0
1191558,2020-11-08,45903.0
1191559,2020-11-09,38073.0
1191560,2020-11-10,44281.0
1191561,2020-11-11,47905.0
1191562,2020-11-12,44879.0
1191563,2020-11-13,44684.0
1191564,2020-11-14,41100.0
1191565,2020-11-15,30548.0
1191566,2020-11-16,29163.0
1191567,2020-11-17,38617.0
1191568,2020-11-18,45576.0
1191569,2020-11-19,45882.0
1191570,2020-11-20,46232.0
1191571,2020-11-21,45209.0
1191572,2020-11-22,44059.0
1191573,2020-11-23,37975.0
1191574,2020-11-24,44376.0
1191575,2020-11-25,44489.0
1191576,2020-11-26,43082.0
1191577,2020-11-27,41322.0
1191578,2020-11-28,41810.0
1191579,2020-11-29,38772.0
1191580,2020-11-30,31118.0
1191581,2020-12-01,36604.0
1191582,2020-12-02,35551.0
1191583,2020-12-03,36595.0
1191584,2020-12-04,36652.0
1191585,2020-12-05,36011.0
1191586,2020-12-06,32981.0
1191587,2020-12-07,26567.0
