,Date,deaths_inc
1191267,2020-01-22,0
1191268,2020-01-23,0
1191269,2020-01-24,0
1191270,2020-01-25,0
1191271,2020-01-26,0
1191272,2020-01-27,0
1191273,2020-01-28,0
1191274,2020-01-29,0
1191275,2020-01-30,0
1191276,2020-01-31,0
1191277,2020-02-01,0
1191278,2020-02-02,0
1191279,2020-02-03,0
1191280,2020-02-04,0
1191281,2020-02-05,0
1191282,2020-02-06,0
1191283,2020-02-07,0
1191284,2020-02-08,0
1191285,2020-02-09,0
1191286,2020-02-10,0
1191287,2020-02-11,0
1191288,2020-02-12,0
1191289,2020-02-13,0
1191290,2020-02-14,0
1191291,2020-02-15,0
1191292,2020-02-16,0
1191293,2020-02-17,0
1191294,2020-02-18,0
1191295,2020-02-19,0
1191296,2020-02-20,0
1191297,2020-02-21,0
1191298,2020-02-22,0
1191299,2020-02-23,0
1191300,2020-02-24,0
1191301,2020-02-25,0
1191302,2020-02-26,0
1191303,2020-02-27,0
1191304,2020-02-28,0
1191305,2020-02-29,0
1191306,2020-03-01,0
1191307,2020-03-02,0
1191308,2020-03-03,0
1191309,2020-03-04,0
1191310,2020-03-05,0
1191311,2020-03-06,0
1191312,2020-03-07,0
1191313,2020-03-08,0
1191314,2020-03-09,0
1191315,2020-03-10,0
1191316,2020-03-11,1
1191317,2020-03-12,0
1191318,2020-03-13,1
1191319,2020-03-14,0
1191320,2020-03-15,0
1191321,2020-03-16,0
1191322,2020-03-17,1
1191323,2020-03-18,0
1191324,2020-03-19,1
1191325,2020-03-20,1
1191326,2020-03-21,1
1191327,2020-03-22,3
1191328,2020-03-23,3
1191329,2020-03-24,0
1191330,2020-03-25,2
1191331,2020-03-26,8
1191332,2020-03-27,0
1191333,2020-03-28,4
1191334,2020-03-29,3
1191335,2020-03-30,5
1191336,2020-03-31,3
1191337,2020-04-01,23
1191338,2020-04-02,14
1191339,2020-04-03,0
1191340,2020-04-04,14
1191341,2020-04-05,13
1191342,2020-04-06,37
1191343,2020-04-07,14
1191344,2020-04-08,28
1191345,2020-04-09,48
1191346,2020-04-10,20
1191347,2020-04-11,42
1191348,2020-04-12,43
1191349,2020-04-13,27
1191350,2020-04-14,35
1191351,2020-04-15,12
1191352,2020-04-16,43
1191353,2020-04-17,38
1191354,2020-04-18,35
1191355,2020-04-19,38
1191356,2020-04-20,33
1191357,2020-04-21,53
1191358,2020-04-22,36
1191359,2020-04-23,40
1191360,2020-04-24,59
1191361,2020-04-25,45
1191362,2020-04-26,56
1191363,2020-04-27,58
1191364,2020-04-28,69
1191365,2020-04-29,71
1191366,2020-04-30,75
1191367,2020-05-01,69
1191368,2020-05-02,100
1191369,2020-05-03,68
1191370,2020-05-04,175
1191371,2020-05-05,127
1191372,2020-05-06,92
1191373,2020-05-07,104
1191374,2020-05-08,96
1191375,2020-05-09,116
1191376,2020-05-10,111
1191377,2020-05-11,82
1191378,2020-05-12,121
